what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1389709986154
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1389709986154
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1389709986154
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1389709986154
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1389709986154
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1389709986154
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1389709986154
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1389709986154
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1389709986154
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1389709986185
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1389709986185
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1389709986264
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1389709986264
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1389709986264
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1389709986264
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1389709986264
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1389709986264
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1389709986264
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1389709986264
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1389709986279
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1389709986279
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1389709986279
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1389709986279
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1389709986279
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1389709986279
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1389709986279
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1389709986279
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1389709986326
os,sysinfo,,,"win32",1389709986326
arch,sysinfo,,,"x86_64",1389709986326
ws,sysinfo,,,"win32",1389709986326
locale,sysinfo,,,"en_US",1389709986326
processors,sysinfo,,,"4",1389709986326
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1389709986326
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1389709986326
java.specification.name,sysinfo,,,"Java Platform API Specification",1389709986326
java.specification.vendor,sysinfo,,,"Oracle Corporation",1389709986326
java.specification.version,sysinfo,,,"1.7",1389709986326
java.vendor,sysinfo,,,"Oracle Corporation",1389709986326
java.version,sysinfo,,,"1.7.0_45",1389709986326
java.vm.info,sysinfo,,,"mixed mode",1389709986326
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1389709986326
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1389709986326
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1389709986326
java.vm.specification.version,sysinfo,,,"1.7",1389709986326
java.vm.vendor,sysinfo,,,"Oracle Corporation",1389709986326
java.vm.version,sysinfo,,,"24.45-b08",1389709986326
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1389709986357
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1389709986435
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1389709986513
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1389709986529
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1389709986872
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1389709987075
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1389709987418
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1389709987434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389709988776
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1389709990524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389709991351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389709995845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710002447
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1389710004695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710008830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710019708
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389710019833
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389710019895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389710028431
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1389710029664
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1389710032411
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1389710043504
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1389710045735
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1389710048450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710051945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710051960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710052678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710054581
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1389710055440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710190898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710192099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389710198137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710198871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710253541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389710302875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389714148801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389714155806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389714157319
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389714157475
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1389714158785
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1389714159207
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1389714159222
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1389714159238
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1389714159238
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1389714159253
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1389714159269
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1389714159269
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1389714159269
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1389714159269
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1389714159269
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1389714159285
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1389714159285
